x,pdf_class,pdf_function,moment,class_value,function_value,class_samples,function_samples,data_size
-4,0,0,,,,,10000
-3.92,0,0,,,,,10000
-3.84,0,0,,,,,10000
-3.76,0,0,,,,,10000
-3.68,0,0,,,,,10000
-3.6,0,0,,,,,10000
-3.52,0,0,,,,,10000
-3.44,0,0,,,,,10000
-3.36,0,0,,,,,10000
-3.28,0,0,,,,,10000
-3.2,0,0,,,,,10000
-3.12,0,0,,,,,10000
-3.04,0,0,,,,,10000
-2.96,0,0,,,,,10000
-2.88,0,0,,,,,10000
-2.8,0,0,,,,,10000
-2.72,0,0,,,,,10000
-2.64,0,0,,,,,10000
-2.56,0,0,,,,,10000
-2.48,0.000706348,0,,,,,10000
-2.4,0.000706348,0,,,,,10000
-2.32,0.0014127,0,,,,,10000
-2.24,0.0014127,0.000691751,,,,,10000
-2.16,0,0.000691751,,,,,10000
-2.08,0.000706348,0,,,,,10000
-2,0.000706348,0.00207525,,,,,10000
-1.92,0.0014127,0.00207525,,,,,10000
-1.84,0.0014127,0.002767,,,,,10000
-1.76,0.00282539,0.002767,,,,,10000
-1.68,0.00282539,0.00484225,,,,,10000
-1.6,0.00282539,0.00484225,,,,,10000
-1.52,0.00706348,0.0013835,,,,,10000
-1.44,0.00706348,0.0013835,,,,,10000
-1.36,0.00776982,0.00968451,,,,,10000
-1.28,0.00776982,0.011068,,,,,10000
-1.2,0.018365,0.011068,,,,,10000
-1.12,0.018365,0.016602,,,,,10000
-1.04,0.0155396,0.016602,,,,,10000
-0.96,0.0268412,0.0262865,,,,,10000
-0.88,0.0268412,0.0262865,,,,,10000
-0.8,0.0494443,0.0408133,,,,,10000
-0.72,0.0494443,0.0408133,,,,,10000
-0.64,0.0558015,0.0657163,,,,,10000
-0.56,0.0558015,0.0705586,,,,,10000
-0.48,0.0791109,0.0705586,,,,,10000
-0.4,0.0791109,0.112064,,,,,10000
-0.32,0.11019,0.112064,,,,,10000
-0.24,0.144095,0.127282,,,,,10000
-0.16,0.144095,0.127282,,,,,10000
-0.08,0.186476,0.186081,,,,,10000
2.47025e-15,0.186476,0.186081,,,,,10000
0.08,0.224619,0.188156,,,,,10000
0.16,0.224619,0.188156,,,,,10000
0.24,0.315737,0.302987,,,,,10000
0.32,0.381428,0.361786,,,,,10000
0.4,0.381428,0.361786,,,,,10000
0.48,0.411094,0.421276,,,,,10000
0.56,0.411094,0.421276,,,,,10000
0.64,0.484554,0.484225,,,,,10000
0.72,0.484554,0.484225,,,,,10000
0.8,0.509983,0.522963,,,,,10000
0.88,0.607459,0.522963,,,,,10000
0.96,0.607459,0.552017,,,,,10000
1.04,0.528348,0.535415,,,,,10000
1.12,0.528348,0.535415,,,,,10000
1.2,0.542475,0.500827,,,,,10000
1.28,0.542475,0.500827,,,,,10000
1.36,0.436523,0.497369,,,,,10000
1.44,0.436523,0.497369,,,,,10000
1.52,0.396967,0.407441,,,,,10000
1.6,0.35388,0.407441,,,,,10000
